rango_edad,ocupacion,horas_diarias_pantalla,categoria_app_principal,app_mas_usada,intento_reducir_pantalla,frecuencia_completar_tareas,frecuencia_concentracion_sin_celular,origen
Menor de 17,Estudiante Secundario,Entre 6 a 8 horas,Social,Whatsapp,No,Casi siempre,Algunas veces,real
18-25,Otros,Entre 2 a 4 horas,Ocio/Streaming,Youtube,Si,Frecuentemente,Casi siempre,real
Más de 35,Otros,Entre 6 a 8 horas,Otros,Whatsapp,Si,Casi siempre,Siempre puedo trabajar sin interrupciones,real
18-25,Estudiante Universitario/Terciario,Entre 6 a 8 horas,Juegos,Whatsapp,No,Frecuentemente,Algunas veces,real
Menor de 17,Estudiante Secundario,Más de 8 horas,Social,Whatsapp,Si,A veces,Casi siempre,real
26-35,Estudiante Universitario/Terciario,Menos de 2 horas,Otros,Whatsapp,Si,Frecuentemente,Algunas veces,real
26-35,Estudiante Universitario/Terciario,Más de 8 horas,Otros,Otros,Si,Frecuentemente,Casi nunca,real
Menor de 17,Otros,Entre 2 a 4 horas,Social,Whatsapp,Si,Frecuentemente,Casi siempre,real
Más de 35,Estudiante Universitario/Terciario,Entre 2 a 4 horas,Social,Whatsapp,No,Frecuentemente,Casi siempre,real
18-25,Estudiante Universitario/Terciario,Entre 6 a 8 horas,Social,Instagram,Si,Casi siempre,Algunas veces,real
Más de 35,Otros,Entre 4 a 6 horas,Otros,Otros,Si,Casi siempre,Casi siempre,real
Más de 35,Otros,Entre 2 a 4 horas,Social,Whatsapp,Si,A veces,Algunas veces,real
26-35,Estudiante Universitario/Terciario,Entre 6 a 8 horas,Otros,Whatsapp,Si,Casi nunca,Algunas veces,real
18-25,Estudiante Universitario/Terciario,Menos de 2 horas,Social,Instagram,No,A veces,Nunca puedo evitar las interrupciones,real
18-25,Otros,Entre 2 a 4 horas,Social,Whatsapp,No,Casi siempre,Casi nunca,real
18-25,Estudiante Universitario/Terciario,Entre 4 a 6 horas,Social,Instagram,No,Casi siempre,Nunca puedo evitar las interrupciones,real
18-25,Estudiante Universitario/Terciario,Entre 6 a 8 horas,Social,TikTok,Si,Frecuentemente,Algunas veces,real
18-25,Estudiante Universitario/Terciario,Entre 6 a 8 horas,Social,Instagram,Si,Rara vez,Algunas veces,real
Más de 35,Otros,Entre 6 a 8 horas,Social,Youtube,Si,Casi siempre,Algunas veces,real
Más de 35,Otros,Entre 2 a 4 horas,Social,Facebook,Si,Frecuentemente,Algunas veces,real
Más de 35,Otros,Entre 2 a 4 horas,Otros,Instagram,Si,Frecuentemente,Casi siempre,real
Menor de 17,Estudiante Secundario,Entre 4 a 6 horas,Social,TikTok,Si,Frecuentemente,Algunas veces,real
26-35,Estudiante Universitario/Terciario,Entre 4 a 6 horas,Social,Whatsapp,Si,A veces,Algunas veces,real
18-25,Estudiante Universitario/Terciario,Menos de 2 horas,Social,Whatsapp,Si,Rara vez,Casi nunca,real
18-25,Estudiante Universitario/Terciario,Entre 6 a 8 horas,Ocio/Streaming,TikTok,No,Rara vez,Casi nunca,real
Más de 35,Otros,Entre 6 a 8 horas,Social,Whatsapp,Si,A veces,Nunca puedo evitar las interrupciones,real
26-35,Otros,Entre 2 a 4 horas,Social,Instagram,No,Frecuentemente,Algunas veces,real
Más de 35,Otros,Entre 2 a 4 horas,Social,Whatsapp,No,Casi siempre,Casi siempre,real
18-25,Estudiante Secundario,Entre 4 a 6 horas,Social,Instagram,Si,Casi nunca,Algunas veces,real
26-35,Otros,Más de 8 horas,Ocio/Streaming,Youtube,Si,Frecuentemente,Casi nunca,real
Menor de 17,Estudiante Secundario,Entre 6 a 8 horas,Social,Instagram,No,Casi nunca,Nunca puedo evitar las interrupciones,real
Menor de 17,Estudiante Secundario,Más de 8 horas,Social,Instagram,Si,Casi siempre,Siempre puedo trabajar sin interrupciones,real
Menor de 17,Estudiante Secundario,Entre 4 a 6 horas,Social,Instagram,Si,Rara vez,Algunas veces,real
Menor de 17,Estudiante Secundario,Más de 8 horas,Social,TikTok,No,Frecuentemente,Algunas veces,real
Más de 35,Otros,Más de 8 horas,Otros,Whatsapp,Si,A veces,Algunas veces,real
26-35,Otros,Entre 4 a 6 horas,Social,Whatsapp,No,Casi siempre,Casi nunca,real
Más de 35,Otros,Entre 4 a 6 horas,Otros,Whatsapp,Si,A veces,Algunas veces,real
Menor de 17,Estudiante Secundario,Entre 2 a 4 horas,Social,Instagram,Si,A veces,Casi siempre,real
Menor de 17,Estudiante Secundario,Más de 8 horas,Social,Instagram,No,Rara vez,Nunca puedo evitar las interrupciones,real
26-35,Otros,Entre 2 a 4 horas,Social,Whatsapp,Si,Rara vez,Algunas veces,real
26-35,Otros,Entre 6 a 8 horas,Social,Whatsapp,No,A veces,Casi nunca,real
Menor de 17,Estudiante Secundario,Entre 4 a 6 horas,Social,TikTok,Si,Frecuentemente,Algunas veces,real
Menor de 17,Estudiante Secundario,Entre 4 a 6 horas,Otros,Otros,No,Casi nunca,Nunca puedo evitar las interrupciones,real
Menor de 17,Estudiante Secundario,Entre 4 a 6 horas,Social,Instagram,Si,Casi siempre,Casi siempre,real
Más de 35,Otros,Entre 6 a 8 horas,Social,TikTok,No,Frecuentemente,Casi siempre,real
Más de 35,Otros,Entre 2 a 4 horas,Social,Whatsapp,No,Casi siempre,Casi siempre,real
18-25,Estudiante Universitario/Terciario,Entre 4 a 6 horas,Social,TikTok,Si,A veces,Casi nunca,real
26-35,Otros,Menos de 2 horas,Social,Instagram,Si,A veces,Casi siempre,real
18-25,Estudiante Universitario/Terciario,Entre 4 a 6 horas,Social,TikTok,No,A veces,Casi siempre,real
18-25,Estudiante Universitario/Terciario,Entre 4 a 6 horas,Social,Youtube,Si,A veces,Casi nunca,real
18-25,Estudiante Universitario/Terciario,Entre 6 a 8 horas,Social,Instagram,No,Frecuentemente,Casi siempre,real
18-25,Estudiante Universitario/Terciario,Entre 6 a 8 horas,Ocio/Streaming,Youtube,No,A veces,Algunas veces,real
Menor de 17,Estudiante Secundario,Entre 6 a 8 horas,Social,TikTok,Si,Casi siempre,Siempre puedo trabajar sin interrupciones,real
18-25,Otros,Más de 8 horas,Juegos,TikTok,No,Casi nunca,Nunca puedo evitar las interrupciones,real
18-25,Estudiante Universitario/Terciario,Más de 8 horas,Social,Whatsapp,No,Casi siempre,Nunca puedo evitar las interrupciones,real
Menor de 17,Estudiante Universitario/Terciario,Más de 8 horas,Social,TikTok,No,Casi nunca,Nunca puedo evitar las interrupciones,real
Menor de 17,Estudiante Secundario,Menos de 2 horas,Social,TikTok,No,A veces,Casi siempre,real
Menor de 17,Estudiante Secundario,Entre 6 a 8 horas,Social,TikTok,Si,Frecuentemente,Algunas veces,real
Más de 35,Otros,Entre 6 a 8 horas,Social,Whatsapp,Si,Frecuentemente,Casi siempre,real
18-25,Estudiante Universitario/Terciario,Entre 6 a 8 horas,Social,Youtube,Si,A veces,Algunas veces,real
Menor de 17,Estudiante Secundario,Entre 4 a 6 horas,Ocio/Streaming,TikTok,No,Casi nunca,Algunas veces,real
Más de 35,Otros,Entre 4 a 6 horas,Social,Facebook,Si,Frecuentemente,Algunas veces,real
18-25,Estudiante Universitario/Terciario,Entre 6 a 8 horas,Social,Whatsapp,Si,Frecuentemente,Casi siempre,real
Más de 35,Otros,Entre 4 a 6 horas,Otros,Whatsapp,Si,Casi siempre,Siempre puedo trabajar sin interrupciones,real
18-25,Estudiante Universitario/Terciario,Más de 8 horas,Ocio/Streaming,Youtube,Si,A veces,Casi nunca,real
18-25,Estudiante Universitario/Terciario,Entre 4 a 6 horas,Social,Instagram,Si,Rara vez,Nunca puedo evitar las interrupciones,real
18-25,Estudiante Universitario/Terciario,Entre 4 a 6 horas,Otros,Youtube,No,Rara vez,Casi siempre,real
18-25,Estudiante Universitario/Terciario,Entre 2 a 4 horas,Ocio/Streaming,Instagram,Si,Frecuentemente,Casi nunca,real
Menor de 17,Estudiante Universitario/Terciario,Entre 2 a 4 horas,Juegos,Whatsapp,No,Casi nunca,Algunas veces,real
